V_Name,Country,Latitude,Longitude
West Eifel Volcanic Field,Germany,50.17,6.85
Chane des Puys,France,45.775,2.97
Olot Volcanic Field,Spain,42.17,2.53
Calatrava Volcanic Field,Spain,38.87,-4.02
Larderello,Italy,43.25,10.87
Vulsini,Italy,42.6,11.93
Alban Hills,Italy,41.73,12.7
Campi Flegrei,Italy,40.827,14.139
Vesuvius,Italy,40.821,14.426
Ischia,Italy,40.73,13.897
Palinuro,Italy,39.48,14.83
Stromboli,Italy,38.789,15.213
Panarea,Italy,38.63,15.07
Lipari,Italy,38.48,14.95
Vulcano,Italy,38.404,14.962
Etna,Italy,37.734,15.004
Campi Flegrei Mar Sicilia,Italy,37.1,12.7
Pantelleria,Italy,36.77,12.02
Methana,Greece,37.615,23.336
M?los,Greece,36.699,24.439
Santorini,Greece,36.404,25.396
Nisyros,Greece,36.586,27.16
Yali,Greece,36.671,27.14
Kula,Turkey,38.58,28.52
Karapinar Field,Turkey,37.67,33.65
Hasan Dagi,Turkey,38.13,34.17
G?ll? Dag,Turkey,38.25,34.57
Acig?l-Nevsehir,Turkey,38.57,34.52
Erciyes Dagi,Turkey,38.52,35.48
Karaca Dag,Turkey,37.67,39.83
Nemrut Dagi,Turkey,38.65,42.23
S?phan Dagi,Turkey,38.92,42.82
Girekol Tepe,Turkey,39.192,43.217
Tend?rek Dagi,Turkey,39.37,43.87
Ararat,Turkey,39.7,44.3
Kars Plateau,Turkey,40.75,43.25
Elbrus,Russia,43.33,42.45
Kasbek,Georgia,42.7,44.5
Kabargin Oth Group,Georgia,42.55,44
Unnamed,Georgia,42.45,44.25
Unnamed,Georgia,41.55,43.6
Aragats,Armenia,40.53,44.2
Ghegam Ridge,Armenia,40.275,44.75
Dar-Alages,Armenia,39.7,45.542
Porak,Armenia-Azerbaijan,40.02,45.78
Tskhouk-Karckar,Armenia-Azerbaijan,39.73,46.02
"Tair, Jebel at",Yemen,15.55,41.83
Zubair Group,Yemen,15.05,42.18
Zukur,Yemen,14.02,42.75
Hanish,Yemen,13.72,42.73
Jalua,Eritrea,15.042,39.82
Alid,Eritrea,14.88,39.92
Dallol,Ethiopia,14.242,40.3
Gada Ale,Ethiopia,13.975,40.408
Alu,Ethiopia,13.825,40.508
Dalaffilla,Ethiopia,13.792,40.55
Borale Ale,Ethiopia,13.725,40.6
Erta Ale,Ethiopia,13.6,40.67
Ale Bagu,Ethiopia,13.52,40.63
Hayli Gubbi,Ethiopia,13.5,40.72
Dubbi,Eritrea,13.58,41.808
Nabro,Eritrea,13.37,41.7
Mallahle,Ethiopia-Eritrea,13.27,41.65
Sork Ale,Ethiopia-Eritrea,13.18,41.725
Asavyo,Ethiopia,13.07,41.6
Mat Ala,Ethiopia,13.1,41.15
Tat Ali,Ethiopia,13.28,41.07
Borawli,Ethiopia,13.3,40.98
Afder?,Ethiopia,13.08,40.85
Ma Alalta,Ethiopia,13.02,40.2
Alayta,Ethiopia,12.88,40.57
Dabbahu,Ethiopia,12.6,40.48
Dabbayra,Ethiopia,12.38,40.07
Manda Hararo,Ethiopia,12.17,40.82
Groppo,Ethiopia,11.73,40.25
Kurub,Ethiopia,11.88,41.208
Borawli,Ethiopia,11.63,41.45
Manda-Inakir,Ethiopia-Djibouti,12.38,42.2
Mousa Alli,Ethiopia-Eritrea-Djibouti,12.47,42.4
Gufa,Eritrea-Djibouti,12.55,42.53
Assab Volcanic Field,Eritrea,12.95,42.43
Ardouk?ba,Djibouti,11.58,42.47
Manda Gargori,Ethiopia,11.75,41.48
Dama Ali,Ethiopia,11.28,41.63
Gabillema,Ethiopia,11.08,41.27
Yangudi,Ethiopia,10.58,41.042
Ayelu,Ethiopia,10.082,40.702
Adwa,Ethiopia,10.07,40.84
Hertali,Ethiopia,9.78,40.33
Liado Hayk,Ethiopia,9.57,40.28
Dofen,Ethiopia,9.35,40.13
Fentale,Ethiopia,8.975,39.93
Beru,Ethiopia,8.95,39.75
Kone,Ethiopia,8.8,39.692
Unnamed,Ethiopia,8.7,39.63
Boset-Bericha,Ethiopia,8.558,39.475
Bishoftu Volcanic Field,Ethiopia,8.78,38.98
Unnamed,Ethiopia,8.62,38.95
Sodore,Ethiopia,8.43,39.35
Gedamsa,Ethiopia,8.35,39.18
Bora-Bericcio,Ethiopia,8.27,39.03
Tullu Moje,Ethiopia,8.158,39.13
Unnamed,Ethiopia,8.07,39.07
East Zway,Ethiopia,7.95,38.93
Butajiri-Silti Field,Ethiopia,8.05,38.35
Alutu,Ethiopia,7.77,38.78
O'a Caldera(s),Ethiopia,7.47,38.58
Corbetti Caldera(s),Ethiopia,7.18,38.43
Bilate River Field,Ethiopia,7.07,38.1
Tepi,Ethiopia,7.42,35.43
Hobicha Caldera(s),Ethiopia,6.78,37.83
Chiracha,Ethiopia,6.65,38.12
Tosa Sucha,Ethiopia,5.93,37.57
Unnamed,Ethiopia,5.65,37.67
Korath Range,Ethiopia,5.1,35.88
Mega Basalt Field,Ethiopia-Kenya,4.08,37.42
North Island,Kenya,4.07,36.05
Central Island,Kenya,3.5,36.042
South Island,Kenya,2.63,36.6
Marsabit,Kenya,2.32,37.97
"Barrier, The",Kenya,2.32,36.57
Namarunu,Kenya,1.98,36.43
Segererua Plateau,Kenya,1.57,37.9
Emuruangogolak,Kenya,1.5,36.33
Silali,Kenya,1.15,36.23
Paka,Kenya,0.92,36.18
Korosi,Kenya,0.77,36.12
Ol Kokwe,Kenya,0.62,36.075
Nyambeni Hills,Kenya,0.23,37.87
Menengai,Kenya,-0.2,36.07
Homa Mountain,Kenya,-0.38,34.5
Elmenteita Badlands,Kenya,-0.52,36.27
"Eburru, Ol Doinyo",Kenya,-0.65,36.22
Olkaria,Kenya,-0.904,36.292
Longonot,Kenya,-0.914,36.446
Suswa,Kenya,-1.175,36.35
"Lengai, Ol Doinyo",Tanzania,-2.764,35.914
Chyulu Hills,Kenya,-2.68,37.88
Kilimanjaro,Tanzania,-3.07,37.35
Meru,Tanzania,-3.25,36.75
Igwisi Hills,Tanzania,-4.891,31.93
Unnamed,Tanzania,-8.624,33.583
SW Usangu Basin,Tanzania,-8.75,33.8
Ngozi,Tanzania,-8.97,33.57
Izumbwe-Mpoli,Tanzania,-8.93,33.4
Rungwe,Tanzania,-9.13,33.67
Kyejo,Tanzania,-9.23,33.78
Fort Portal,Uganda,0.7,30.25
Kyatwa,Uganda,0.45,30.25
Katwe-Kikorongo,Uganda,-0.08,29.92
Bunyaruguru,Uganda,-0.2,30.08
Katunga,Uganda,-0.471,30.191
May-ya-moto,DR Congo,-0.93,29.33
Nyamuragira,DR Congo,-1.408,29.2
Nyiragongo,DR Congo,-1.52,29.25
Karisimbi,DR Congo-Rwanda,-1.5,29.45
Visoke,DR Congo-Rwanda,-1.47,29.492
Muhavura,Uganda-Rwanda,-1.38,29.67
Bufumbira,Uganda,-1.23,29.72
Tshibinda,DR Congo,-2.32,28.75
Sao Tome,Sao Tome and Principe,0.2,6.58
San Carlos,Equatorial Guinea,3.35,8.52
San Joaquin,Equatorial Guinea,3.35,8.63
Santa Isabel,Equatorial Guinea,3.58,8.75
Cameroon,Cameroon,4.203,9.17
Tombel Graben,Cameroon,4.75,9.67
Manengouba,Cameroon,5.03,9.83
Oku Volcanic Field,Cameroon,6.25,10.5
Ngaoundere Plateau,Cameroon,7.25,13.67
Biu Plateau,Nigeria,10.75,12
Todra Volcanic Field,Niger,17.68,8.5
Tin Zaouatene Volcanic Field,Mali,19.83,2.83
In Ezzane Volcanic Field,Algeria-Niger,23,10.83
Tahalra Volcanic Field,Algeria,22.67,5
Atakor Volcanic Field,Algeria,23.33,5.83
Manzaz Volcanic Field,Algeria,23.92,5.83
Haruj,Libya,27.25,17.5
Wau-en-Namus,Libya,25.05,17.55
"T?h, Tarso",Chad,21.33,16.33
"Toussid?, Tarso",Chad,21.03,16.45
"Voon, Tarso",Chad,20.92,17.28
"Koussi, Emi",Chad,19.8,18.53
"Marra, Jebel",Sudan,12.95,24.27
Kutum Volcanic Field,Sudan,14.57,25.85
Meidob Volcanic Field,Sudan,15.32,26.47
Bayuda Volcanic Field,Sudan,18.33,32.75
"Umm Arafieb, Jebel",Sudan,18.17,33.83
Sharat Kovakab,Syria,36.53,40.85
Unnamed,Syria,36.67,37
Golan Heights,Syria,33.1,35.97
Unnamed,Syria,33,36.63
Es Safa,Syria,33.25,37.07
"Druze, Jabal ad",Syria,32.658,36.425
"Harrah, Al",Saudi Arabia,31.08,38.42
"Rahah, Harrat ar",Saudi Arabia,27.8,36.17
"'Uwayrid, Harrat",Saudi Arabia,27.08,37.25
"Lunayyir, Harrat",Saudi Arabia,25.17,37.75
"Ithnayn, Harrat",Saudi Arabia,26.58,40.2
"Khaybar, Harrat",Saudi Arabia,25,39.92
"Rahat, Harrat",Saudi Arabia,23.08,39.78
"Kishb, Harrat",Saudi Arabia,22.8,41.38
"Birk, Harrat al",Saudi Arabia,18.37,41.63
"Yar, Jabal",Saudi Arabia,17.05,42.83
"Arhab, Harra of",Yemen,15.63,44.08
"Marha, Jabal el-",Yemen,15.245,44.236
"Haylan, Jabal",Yemen,15.43,44.78
